note_id,user_id,nickname,title,desc,text,liked_count_num,collected_count_num,comment_count_num,share_count_num,total_interaction,time,note_url,source_keyword
69d27b7600000000220000c2,5f1c2c4b0000000001000ede,洛灯盏,时长半小时！光遇竞速大电影《时代》上线！,送给光遇竞速五周年，送给竞速赛场上的每一个人#光遇[话题]# #光遇竞速大电影时代[话题]# #光遇花憩节[话题]# #光遇人均小太阳[话题]# #光遇大电影[话题]# #RED新生代创作大赛[话题]# #二创剧场[话题]#,时长半小时！光遇竞速大电影《时代》上线！ 送给光遇竞速五周年，送给竞速赛场上的每一个人#光遇[话题]# #光遇竞速大电影时代[话题]# #光遇花憩节[话题]# #光遇人均小太阳[话题]# #光遇大电影[话题]# #RED新生代创作大赛[话题]# #二创剧场[话题]#,0,86000,6246,27000,119246,1775401846000,https://www.xiaohongshu.com/explore/69d27b7600000000220000c2?xsec_token=ABr5XbnI1ShjnMgCjjHI86zmj-VLkvZxYCdFxLv-2RA8s=&xsec_source=pc_search,长视频
668cb7c40000000025001978,5dd7ee540000000001005991,SereinNIAN,“仅此782秒，致我永远热泪盈眶的高三.”,"人没有办法同时拥有青春和对青春的感受；
​但是很庆幸你们至少来过，
​在我的青春里留下炙热的一笔。
高考不是终点，
离别也并非句号。
​祝大家都有光明的未来！
​我们来日方长！
#高考[话题]# #vlog[话题]# #毕业[话题]# #高三[话题]#  #高考加油[话题]# #励志[话题]# #青春回忆[话题]# #青春[话题]# #师大附中[话题]#","“仅此782秒，致我永远热泪盈眶的高三.” 人没有办法同时拥有青春和对青春的感受；
​但是很庆幸你们至少来过，
​在我的青春里留下炙热的一笔。
高考不是终点，
离别也并非句号。
​祝大家都有光明的未来！
​我们来日方长！
#高考[话题]# #vlog[话题]# #毕业[话题]# #高三[话题]#  #高考加油[话题]# #励志[话题]# #青春回忆[话题]# #青春[话题]# #师大附中[话题]#",0,30000,1830,5788,37618,1720498116000,https://www.xiaohongshu.com/explore/668cb7c40000000025001978?xsec_token=ABsUt0Eo_l6Z8UYyH8UeHh7dD1ZBiQAMJdZUvFEHakH5o=&xsec_source=pc_search,长视频
69b15b9c000000002202f2bd,615d56a4000000001f03af68,我叫小渔人,嘎嘎滴辣虾,#搞笑配音[话题]# #鬼畜[话题]# #不知火舞[话题]#,嘎嘎滴辣虾 #搞笑配音[话题]# #鬼畜[话题]# #不知火舞[话题]#,0,30000,4378,36000,70378,1773231004000,https://www.xiaohongshu.com/explore/69b15b9c000000002202f2bd?xsec_token=ABUhMa6FSViYbHcHp6amaDxiiMZV_vuj5Br8xA5mMEtZc=&xsec_source=pc_search,长视频
6982b7f1000000002203016b,6303695e000000001200e063,Rricky（终身学习版）,【长视频】一份人生使用手册：观察并爱自己,"一直没在这边同步，这次也一起发上来吧～
#拥抱我的身体信号[话题]# #观察[话题]# #马住生活的光[话题]# #J人的生活[话题]# #我的天赋进化史[话题]# #爱你老己[话题]# #人生意义[话题]# #计划[话题]# #自我管理[话题]# #如何让人生开挂[话题]# @热点薯","【长视频】一份人生使用手册：观察并爱自己 一直没在这边同步，这次也一起发上来吧～
#拥抱我的身体信号[话题]# #观察[话题]# #马住生活的光[话题]# #J人的生活[话题]# #我的天赋进化史[话题]# #爱你老己[话题]# #人生意义[话题]# #计划[话题]# #自我管理[话题]# #如何让人生开挂[话题]# @热点薯",71000,61000,113,3323,135436,1770199282000,https://www.xiaohongshu.com/explore/6982b7f1000000002203016b?xsec_token=AB2QHJuUwsToM8pgN6OPceIrdCjktUFT5PZbNon4cNi6Y=&xsec_source=pc_search,长视频
6764c999000000000b017bcc,61b8aef300000000210251da,Naaana,五日生活小簿超长版📝自己做干净漂亮饭,#vlog[话题]# #vlog我的一天[话题]# #日常饮食[话题]##小红书慢人节[话题]#,五日生活小簿超长版📝自己做干净漂亮饭 #vlog[话题]# #vlog我的一天[话题]# #日常饮食[话题]##小红书慢人节[话题]#,63000,7018,813,1400,72231,1734658457000,https://www.xiaohongshu.com/explore/6764c999000000000b017bcc?xsec_token=ABqlhQ7A_XKMgy-ZP9Wd03b2vGx_9GtM6d-O4FsriCPwg=&xsec_source=pc_search,长视频
6885a7300000000017034ecd,61355e61000000000201baba,烛光cut,“你打算怎样度过你的人生？”,#励志[话题]# #正能量[话题]# #人生[话题]# #正能量[话题]# #高能[话题]# #高分电影[话题]# #电影剪辑[话题]# #我的人生电影[话题]# #努力[话题]# #你将活出怎样的人生[话题]# #你的人生属于你自己[话题]# #去过你想要的生活吧[话题]# #选择你想要的生活[话题]# #你的人生你来定义[话题]# #上海电影节[话题]# #乐观[话题]# #少年[话题]# #我想活出这样的人生[话题]#,“你打算怎样度过你的人生？” #励志[话题]# #正能量[话题]# #人生[话题]# #正能量[话题]# #高能[话题]# #高分电影[话题]# #电影剪辑[话题]# #我的人生电影[话题]# #努力[话题]# #你将活出怎样的人生[话题]# #你的人生属于你自己[话题]# #去过你想要的生活吧[话题]# #选择你想要的生活[话题]# #你的人生你来定义[话题]# #上海电影节[话题]# #乐观[话题]# #少年[话题]# #我想活出这样的人生[话题]#,54000,19000,551,2184,75735,1753589552000,https://www.xiaohongshu.com/explore/6885a7300000000017034ecd?xsec_token=ABjamoQHM28C3F7OY0MkLqBci6EgLp_Asmjzz0DtD4b3U=&xsec_source=pc_search,长视频
69350ce8000000000d0384c3,609748a8000000000101e5a8,十醒,长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# #低价值感[话题]# #学点儿心理学[话题]#,长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# #低价值感[话题]# #学点儿心理学[话题]#,长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# #低价值感[话题]# #学点儿心理学[话题]# 长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# #低价值感[话题]# #学点儿心理学[话题]#,53000,25000,557,3902,82459,1765329360000,https://www.xiaohongshu.com/explore/69350ce8000000000d0384c3?xsec_token=ABBtQ1dqXstRN3N_y3uMnS3F0MZf8P_zmJa_HSg3n9sfw=&xsec_source=pc_search,长视频
66de7848000000000c01a78a,6490fc0c000000001001c179,酗猫小野莓wild,那些我所拥有的「奢侈品」,"之前刷到 @阿文就是Aya 的视频很有感触
我一直都坚信，金钱从来无法困住我们的步伐。
人生中最重要的东西，也往往都不是购得的。
在我们的身边，有无数像我一样的普通人都拥有着别人买不来也夺不走的、属于自己的奢侈品。
#小红书外人节[话题]#  #户外是我的精神保护区[话题]#  #女性力量[话题]#  #女性觉醒[话题]#  #独立女性[话题]#  #自由[话题]#  #girlstalk[话题]#  #旅行记录[话题]#  #氛围感[话题]#","那些我所拥有的「奢侈品」 之前刷到 @阿文就是Aya 的视频很有感触
我一直都坚信，金钱从来无法困住我们的步伐。
人生中最重要的东西，也往往都不是购得的。
在我们的身边，有无数像我一样的普通人都拥有着别人买不来也夺不走的、属于自己的奢侈品。
#小红书外人节[话题]#  #户外是我的精神保护区[话题]#  #女性力量[话题]#  #女性觉醒[话题]#  #独立女性[话题]#  #自由[话题]#  #girlstalk[话题]#  #旅行记录[话题]#  #氛围感[话题]#",51000,7516,796,2061,61373,1726143687000,https://www.xiaohongshu.com/explore/66de7848000000000c01a78a?xsec_token=ABgle6FCBHlLQmZDbzDqUGjsX8hWD1cOvGs3KWiRKHRmM=&xsec_source=pc_search,长视频
67e3c7a0000000001e002ea1,66243fa200000000070077d6,光滑的鹅,台球公主发癔症,#炸裂[话题]# #睡前故事[话题]# #女大学生[话题]# #情感[话题]#,台球公主发癔症 #炸裂[话题]# #睡前故事[话题]# #女大学生[话题]# #情感[话题]#,49000,3383,2062,6668,61113,1742981024000,https://www.xiaohongshu.com/explore/67e3c7a0000000001e002ea1?xsec_token=ABEzzctXXH_rARzro_UmJYe2RgVjjwmc2R0xMr0hjsn9M=&xsec_source=pc_search,长视频
69d45be200000000220034e0,5f0d6229000000000101c2b7,Jason浴桶的自然笔记,我在哥斯达黎加丛林的25天,"注意此视频时长140分钟！
这是《雨林时钟》系列 25 天超长完整重制版，把我在雨林里的日夜、遇见的每一个小生命，都原原本本呈现给你。有相遇与告别，有温柔与残酷，有喧嚣也有寂静。
愿你在这片绿色世界里，慢下来，听见自然真正的声音。 #RED新生代创作大赛[话题]#  #科学向导[话题]#  #神奇的动物[话题]# #动物科普[话题]#  #我看到的世界[话题]# #野外探索[话题]# #热带雨林[话题]# #昆虫[话题]# #雨林时钟[话题]#  #向雨林出发[话题]#","我在哥斯达黎加丛林的25天 注意此视频时长140分钟！
这是《雨林时钟》系列 25 天超长完整重制版，把我在雨林里的日夜、遇见的每一个小生命，都原原本本呈现给你。有相遇与告别，有温柔与残酷，有喧嚣也有寂静。
愿你在这片绿色世界里，慢下来，听见自然真正的声音。 #RED新生代创作大赛[话题]#  #科学向导[话题]#  #神奇的动物[话题]# #动物科普[话题]#  #我看到的世界[话题]# #野外探索[话题]# #热带雨林[话题]# #昆虫[话题]# #雨林时钟[话题]#  #向雨林出发[话题]#",49000,28000,2087,2664,81751,1775550619000,https://www.xiaohongshu.com/explore/69d45be200000000220034e0?xsec_token=AB3F3_dqITan_DZfBX6Lz3efr9wvj_De-KSmGZN0gn0XA=&xsec_source=pc_search,长视频
